pin,slack
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE0_ERR_CNT[27]:ALn,
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE0_ERR_CNT[27]:CLK,
SmartBert_Core_0_0/SB_VER_GEN_0/SLE_RX_LANE0_ERR_CNT[27]:D,7107
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_145_1.CO1:A,7892
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_145_1.CO1:B,8743
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_145_1.CO1:C,6141
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_145_1.CO1:D,6998
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_145_1.CO1:Y,6141
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_a2[40]:A,12035
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_a2[40]:B,11981
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_a2[40]:C,-80
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_a2[40]:Y,-80
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_149_1.SUM_0_a2[0]:A,5329
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_149_1.SUM_0_a2[0]:B,6125
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_149_1.SUM_0_a2[0]:C,5253
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_149_1.SUM_0_a2[0]:D,5941
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/N_149_1.SUM_0_a2[0]:Y,5253
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_i_0_x4[32]:A,12703
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_i_0_x4[32]:B,12668
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs9_5_i_0_x4[32]:Y,12668
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_0[48]:A,801
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_0[48]:B,-80
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_0[48]:C,12710
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_0[48]:D,12612
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/err_bits_7_iv_0_0[48]:Y,-80
SmartBert_Core_0_0/SB_VER_GEN_0/LANE0_RX_DATA_EN:ALn,
SmartBert_Core_0_0/SB_VER_GEN_0/LANE0_RX_DATA_EN:CLK,-190
SmartBert_Core_0_0/SB_VER_GEN_0/LANE0_RX_DATA_EN:D,15099
SmartBert_Core_0_0/SB_VER_GEN_0/LANE0_RX_DATA_EN:EN,14163
SmartBert_Core_0_0/SB_VER_GEN_0/LANE0_RX_DATA_EN:Q,-190
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_66[78]:A,10070
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_66[78]:B,9202
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_66[78]:C,9136
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_66[78]:Y,9136
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31[42]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31[42]:CLK,14266
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31[42]:D,2289
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/prbs31[42]:Q,14266
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_18[67]:A,9471
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_18[67]:B,8603
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_18[67]:C,8537
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_align_84_18[67]:Y,8537
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[53]:ALn,
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[53]:CLK,11871
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[53]:D,15099
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[53]:Q,11871
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_CHKR_0/rx_data_reg[53]:SLn,4269
SmartBert_Core_0_0/SB_GEN_CHKR_0/SB_PRBS_GEN_0/TX_DATA_5_0_a3_0_x2[14]:A,10732
